[12/03/2017][11:06:27]  -system sys,start server 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 62 2215 2063 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 70 2219 2063 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 100 2227 2062 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 328 2321 2218 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 337 2318 2223 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 442 2488 2054 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 545 2488 1950 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 575 2450 1951 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 602 2543 1943 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 673 2618 1978 
[12/03/2017][11:06:39]  -system err,No empty mobgrid: 792 2472 1836 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 802 2476 1820 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 908 2612 2078 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1032 2396 1688 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1046 2363 1700 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1118 2336 1596 
[12/03/2017][11:06:39]  -system err,No empty mobgrid: 1179 2274 1748 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1184 2226 1748 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1204 2198 1710 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1227 2267 1736 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1240 2296 1618 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1279 1996 1638 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1292 1956 1560 
[12/03/2017][11:06:39]  -system err,No empty mobgrid: 1304 1960 1644 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1506 2192 1360 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1542 2244 1302 
[12/03/2017][11:06:39]  -system err,No empty mobgrid(1): 1830 279 3790 
