[21/07/2017][20:40:07]  -system sys,start server 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 62 2215 2063 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 70 2219 2063 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 100 2227 2062 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 328 2321 2218 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 337 2318 2223 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 442 2488 2054 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 545 2488 1950 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 575 2450 1951 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 602 2543 1943 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 673 2618 1978 
[21/07/2017][20:40:19]  -system err,No empty mobgrid: 792 2472 1836 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 802 2476 1820 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 908 2612 2078 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1032 2396 1688 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1046 2363 1700 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1118 2336 1596 
[21/07/2017][20:40:19]  -system err,No empty mobgrid: 1179 2274 1748 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1184 2226 1748 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1204 2198 1710 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1227 2267 1736 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1240 2296 1618 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1279 1996 1638 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1292 1956 1560 
[21/07/2017][20:40:19]  -system err,No empty mobgrid: 1304 1960 1644 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1506 2192 1360 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1542 2244 1302 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1830 279 3790 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1968 409 3815 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 1995 560 3802 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 2086 750 3809 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 2220 420 4027 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 2253 974 4075 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 2287 1003 4005 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 2307 952 4002 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 2445 2328 2088 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 2542 930 3804 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 2620 1048 3754 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 2869 1195 4023 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 2882 1225 4013 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 3051 1397 3790 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 3068 1404 3733 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 3514 1317 4042 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 3850 2123 1632 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 3852 2113 1634 
[21/07/2017][20:40:19]  -system err,No empty mobgrid(1): 3855 2060 1636 
