[20/04/2017][22:18:46]  -system sys,start server 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 62 2215 2063 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 70 2219 2063 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 100 2227 2062 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 328 2321 2218 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 337 2318 2223 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 442 2488 2054 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 545 2488 1950 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 575 2450 1951 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 602 2543 1943 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 673 2618 1978 
[20/04/2017][22:18:58]  -system err,No empty mobgrid: 792 2472 1836 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 802 2476 1820 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 908 2612 2078 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1032 2396 1688 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1046 2363 1700 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1118 2336 1596 
[20/04/2017][22:18:58]  -system err,No empty mobgrid: 1179 2274 1748 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1184 2226 1748 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1204 2198 1710 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1227 2267 1736 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1240 2296 1618 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1279 1996 1638 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1292 1956 1560 
[20/04/2017][22:18:58]  -system err,No empty mobgrid: 1304 1960 1644 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1506 2192 1360 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1542 2244 1302 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1830 279 3790 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1968 409 3815 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 1995 560 3802 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 2086 750 3809 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 2220 420 4027 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 2253 974 4075 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 2287 1003 4005 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 2307 952 4002 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 2445 2328 2088 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 2542 930 3804 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 2620 1048 3754 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 2869 1195 4023 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 2882 1225 4013 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3051 1397 3790 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3068 1404 3733 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3514 1317 4042 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3850 2123 1632 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3852 2113 1634 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3855 2060 1636 
[20/04/2017][22:18:58]  -system err,No empty mobgrid: 3860 2086 1616 
[20/04/2017][22:18:58]  -system err,No empty mobgrid: 3864 2138 1623 
[20/04/2017][22:18:58]  -system err,No empty mobgrid: 3868 2074 1595 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3869 2083 1596 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3870 2098 1595 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3873 2132 1595 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3874 2124 1582 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3878 2139 1581 
[20/04/2017][22:18:58]  -system err,No empty mobgrid: 3885 2048 1574 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3886 2054 1584 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3887 2059 1551 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3889 2097 1550 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3891 2135 1550 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 3892 2153 1550 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 5690 3432 1622 
[20/04/2017][22:18:58]  -system err,No empty mobgrid: 5770 3409 1534 
[20/04/2017][22:18:58]  -system err,No empty mobgrid(1): 5841 3424 1460 
[20/04/2017][22:19:00]  -system etc,nightmare_normal clear -22:19 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 70 2224 2063 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 324 2368 2213 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 337 2324 2224 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 601 2543 1954 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 796 2513 1836 
[20/04/2017][22:19:10]  -system err,No empty mobgrid: 1229 2268 1719 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 1293 1945 1573 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 1297 1967 1625 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 1405 1877 1758 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 1467 2192 1487 
[20/04/2017][22:19:10]  -system err,No empty mobgrid: 1871 321 3744 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 1934 435 3788 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 1968 410 3815 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 2019 596 3770 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 2086 749 3809 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 2287 1003 4004 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 2523 799 3889 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 2601 1030 3762 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 2617 1077 3753 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 2635 1068 3786 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 2641 1128 3762 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 3051 1396 3789 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 3511 1333 4039 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 3852 2112 1637 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 3869 2085 1596 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 3873 2133 1595 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 3878 2139 1583 
[20/04/2017][22:19:10]  -system err,No empty mobgrid(1): 3891 2133 1551 
