[12/03/2017][00:40:37]  -system sys,start server 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 1542 2244 1302 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 1830 279 3790 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 1968 409 3815 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 1995 560 3802 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 2086 750 3809 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 2220 420 4027 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 2253 974 4075 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 2287 1003 4005 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 2307 952 4002 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 2445 2328 2088 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 2542 930 3804 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 2620 1048 3754 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 2869 1195 4023 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 2882 1225 4013 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3051 1397 3790 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3068 1404 3733 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3514 1317 4042 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3850 2123 1632 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3852 2113 1634 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3855 2060 1636 
[12/03/2017][00:40:49]  -system err,No empty mobgrid: 3860 2086 1616 
[12/03/2017][00:40:49]  -system err,No empty mobgrid: 3864 2138 1623 
[12/03/2017][00:40:49]  -system err,No empty mobgrid: 3868 2074 1595 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3869 2083 1596 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3870 2098 1595 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3873 2132 1595 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3874 2124 1582 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3878 2139 1581 
[12/03/2017][00:40:49]  -system err,No empty mobgrid: 3885 2048 1574 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3886 2054 1584 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3887 2059 1551 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3889 2097 1550 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3891 2135 1550 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 3892 2153 1550 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 5690 3432 1622 
[12/03/2017][00:40:49]  -system err,No empty mobgrid: 5770 3409 1534 
[12/03/2017][00:40:49]  -system err,No empty mobgrid(1): 5841 3424 1460 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 70 2224 2063 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 324 2368 2213 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 337 2324 2224 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 601 2543 1954 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 796 2513 1836 
[12/03/2017][00:41:01]  -system err,No empty mobgrid: 1229 2268 1719 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 1293 1945 1573 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 1297 1967 1625 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 1405 1877 1758 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 1467 2192 1487 
[12/03/2017][00:41:01]  -system err,No empty mobgrid: 1871 321 3744 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 1934 435 3788 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 1968 410 3815 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 2019 596 3770 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 2086 749 3809 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 2287 1003 4004 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 2523 799 3889 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 2601 1030 3762 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 2617 1077 3753 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 2635 1068 3786 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 2641 1128 3762 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 3051 1396 3789 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 3511 1333 4039 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 3852 2112 1637 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 3869 2085 1596 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 3873 2133 1595 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 3878 2139 1583 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 3891 2133 1551 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 4036 3622 2822 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 5690 3432 1622 
[12/03/2017][00:41:01]  -system err,No empty mobgrid(1): 5841 3424 1460 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 259 2360 2160 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 1296 1953 1621 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 1298 1982 1620 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 3605 2448 4010 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 3792 2232 3628 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 3852 2113 1636 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 3891 2131 1551 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 3904 3661 3067 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 4106 3541 2896 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 5690 3432 1622 
[12/03/2017][00:41:13]  -system err,No empty mobgrid(1): 5841 3425 1459 
[12/03/2017][00:41:25]  -system err,No empty mobgrid: 1193 2209 1732 
[12/03/2017][00:41:25]  -system err,No empty mobgrid(1): 1229 2267 1719 
[12/03/2017][00:41:25]  -system err,No empty mobgrid(1): 1231 2255 1735 
[12/03/2017][00:41:25]  -system err,No empty mobgrid(1): 1293 1945 1572 
[12/03/2017][00:41:25]  -system err,No empty mobgrid(1): 1345 1984 1723 
[12/03/2017][00:41:25]  -system err,No empty mobgrid(1): 2086 750 3809 
[12/03/2017][00:41:25]  -system err,No empty mobgrid(1): 2229 488 4042 
[12/03/2017][00:41:25]  -system err,No empty mobgrid: 2743 1703 1826 
[12/03/2017][00:41:25]  -system err,No empty mobgrid(1): 3235 1378 1855 
[12/03/2017][00:41:25]  -system err,No empty mobgrid(1): 3852 2112 1635 
[12/03/2017][00:41:25]  -system err,No empty mobgrid(1): 3891 2134 1551 
[12/03/2017][00:41:25]  -system err,No empty mobgrid(1): 5832 3426 1432 
